Entity	Description	TYPES	TYPES	TYPES	TYPES	BELONGS TO	USED FOR	USED FOR	USED FOR	USED FOR	USED FOR	USED FOR	USED AS	USED AS	RELATED TO	RELATED TO	RELATED TO	RELATED TO	INVOLVED IN	INVOLVED IN	INVOLVED IN	INVOLVED IN	INVOLVED IN	ALSO KNOWN AS	CAUSED BY	CAUSED BY	CAUSED BY	CAUSED BY	CAN CAUSE	CAN CAUSE	CAN CAUSE	CAN CAUSE	CAN CAUSE	CAN CAUSE	FOUND IN	FOUND IN	FOUND IN	FOUND IN	FOUND IN	FOUND IN	BRAND NAME	BRAND NAME	BRAND NAME	BRAND NAME	SYMPTOM OF	SYMPTOM OF	ORIGINATED FROM	ORIGINATED FROM	NATURAL HABITAT	NATURAL HABITAT	PRECURSOR TO	CONTAINS	CONTAINS	CONTAINS	CONTAINS
Traditional Chinese Medicine (TCM)	Traditional Chinese Medicine (TCM) is a system of medicine that has been used for over 2,000 years in China. It is based on the belief that the human body is a system of energy channels and that illness is caused by imbalances in these channels. TCM practitioners use a variety of techniques to restore balance, including acupuncture, herbal medicine, and massage.																																																						
Tragacanth	Tragacanth is a plant that is native to the Mediterranean region. It is a member of the legume family and its scientific name is Astragalus gummifer. The plant is a shrub that can grow to be about four feet tall. The leaves of the plant are green and the flowers are white. The plant produces a gum that is used in a variety of products.	Plant																																																					
Trager Therapy	Trager Therapy is a type of bodywork that uses gentle, rhythmic movements and deep, relaxing stretches to release tension and improve flexibility. The therapist may also use light touch and massage to help the client relax.																																																						
Trailing Arbutus	The Trailing Arbutus plant is a small, evergreen shrub that is native to North America. It has small, white flowers that bloom in the spring and summer. The leaves are dark green and glossy. The plant grows to be about 2 feet tall and 3 feet wide.	Plant																																																					
Trans Fat	Trans fat is a type of unsaturated fat that occurs when liquid fat is made into a solid fat, such as margarine or shortening. Trans fat is created during the process of hydrogenation, which adds hydrogen atoms to the fat molecules. This makes the fat more solid and less likely to spoil. Trans fat is found in many processed foods, such as crackers, cookies, and fried foods.																																																						
Transcutaneous Electrical Acustimulation	Transcutaneous electrical acustimulation (TEA) is a form of electrical stimulation that is applied to the skin. The electrical stimulation is thought to stimulate the nervous system and produce a variety of therapeutic effects.																																																						
Transjugular Intrahepatic Portosystemic Shunt (TIPSS) placement	A Transjugular Intrahepatic Portosystemic Shunt (TIPSS) is a procedure to place a shunt (tube) between the hepatic vein and the portal vein. This is done to relieve portal hypertension (high blood pressure in the portal vein).	Health condition																																																					
Transurethral Resection Of The Prostate (TURP)	A transurethral resection of the prostate (TURP) is a surgical procedure to remove parts of the prostate gland. The prostate is a small, walnut-shaped gland that is part of the male reproductive system. It is located just below the bladder and in front of the rectum. The prostate gland produces a fluid that is a part of semen.  The most common reason for a TURP is an enlarged prostate gland. This condition is also called benign prostatic hyperplasia (BPH). An enlarged prostate gland can cause urinary problems, such as a weak stream, hesitancy, dribbling, and urgency. A TURP can relieve these urinary problems.	Surgical procedure																																																					
Traumatic Brain Injury (TBI)	A TBI is a type of brain injury that occurs when an external force causes damage to the brain. TBI can result in a wide range of cognitive, physical, and emotional symptoms.	Health condition																																																					
Traumatic Oral Ulcers	Traumatic oral ulcers are open sores that can occur in the mouth as a result of trauma, such as from biting the inside of the cheek or lip. These ulcers can be painful and may make it difficult to eat or drink.	Health condition																																																					
Traveler's Joy	This plant is a member of the clematis family and is native to Europe. It is a climbing vine that can grow up to 30 feet in length. The leaves are large and have a toothed margin. The flowers are small and white, and they bloom in the summer.	Plant																																																					
Travelers' Diarrhea	This is a condition where a person experiences loose, watery stools and abdominal cramps. It is often caused by consuming contaminated food or water.	Health condition																																																					
Tree of Heaven	A tree of heaven is a fast-growing tree that can reach up to 30 meters in height. It has dark green, pinnate leaves and small, greenish-white flowers. The tree is native to China and was introduced to North America in the 18th century.																																																						
Tree Tobacco	Tree tobacco is a plant in the nightshade family that is native to South America. It can grow to be over 10 feet tall and has large, oval-shaped leaves. The flowers are white or pale pink and the fruit is a small, greenish-yellow berry.																																																						
Tree Turmeric	Tree turmeric is a plant in the ginger family that is native to India. The plant has yellow flowers and a rhizome that is used as a spice.																																																						
Trendione	Trendione is a synthetic anabolic steroid that is similar to testosterone. It is used to promote muscle growth and to increase strength and endurance.																																																						
Tribulus	Tribulus terrestris is a flowering plant in the family Zygophyllaceae, native to warm temperate and tropical regions of the Old World in southern Europe, southern Asia, throughout Africa, and in northern Australia. It can grow up to 0.5 m in height, with deeply lobed leaves and yellow flowers. The fruit is a small, hard, spiny capsule containing two seeds.  This plant has many traditional uses, including as a diuretic, tonic, and aphrodisiac. It is also used in traditional Chinese medicine.	Plant																																																					
Trichomoniasis	Trichomoniasis is a sexually transmitted infection that is caused by a parasite. The parasite is called Trichomonas vaginalis and it infects the vagina, urethra, and bladder. Symptoms of trichomoniasis include itching, burning, and pain in the genitals. The infection can also cause pain during urination and sex. Trichomoniasis is treated with antibiotics.	Health condition																																																					
Trichopus Zeylanicus	Trichopus zeylanicus is a small, herbaceous plant that is native to Sri Lanka. It grows to a height of 30 cm and has oblong, toothed leaves. The flowers are white or pale pink and borne in clusters. The fruit is a small, fleshy berry.	Plant																																																					
Trichotillomania	Trichotillomania is a mental health condition that causes people to pull out their hair.	Health condition																																																					
Trichotillomania (Hair Pulling)	Trichotillomania (Hair Pulling) is a condition where a person has an irresistible urge to pull out their hair, resulting in baldness.	Health condition																																																					
Trigger Point Therapy	Trigger point therapy is a type of massage that focuses on specific areas of the body that are known to cause pain. These areas are called trigger points, and they can be found in the muscles, tendons, and ligaments. Trigger point therapy is designed to relieve the pain that is associated with these trigger points.																																																						
Trismus	Trismus is a condition where the muscles in the jaw area are tight and stiff, making it difficult to open the mouth.	Health condition																																																					
Tronadora	Tronadora is a plant that is native to the tropical regions of South America. It is a member of the Solanaceae family, which includes other plants such as tomatoes, potatoes, and peppers. The plant is also known by its scientific name, Solanum tronadora.  Tronadora is a perennial plant that can grow to be about 6 feet tall. It has large, dark green leaves that are arranged in a spiral pattern on the stem. The leaves are covered in small, sharp spines. The plant produces small, white flowers that bloom in the summer. The flowers are followed by small, green fruits that turn red when they mature.  Tronadora is typically grown in home gardens and is used as a culinary herb. The leaves and fruits of the plant are used in a variety of dishes, including soups, stews, and sauces. Tronadora can also be used to make a tea.	Plant																																																					
Trypsin	Trypsin is a proteolytic enzyme that is produced in the pancreas and is responsible for the breakdown of proteins in the digestive system.																																																						
Tuberculosis (TB)	Tuberculosis (TB) is a disease caused by bacteria that most often affect the lungs. It can also affect other parts of the body, such as the brain, kidneys, and spine. TB is spread through the air from person to person. Most people who get TB don’t have any symptoms and can’t spread the disease. But some people with TB infection become sick with TB disease.	Health condition																																																					
Tuberous Sclerosis Complex (TSD)	Tuberous sclerosis complex (TSC) is a rare, multi-system genetic disease that causes non-malignant tumors to grow in the brain and on other vital organs such as the kidneys, heart, lungs, and skin. The tumors are typically benign, but can become malignant. TSC can also cause developmental delays, intellectual disability, and epilepsy. There is no cure for TSC, but treatments are available to help manage the symptoms.	Health condition																																																					
Tung oil	Tung oil is a drying oil derived from the seeds of the tung tree. It is used as a finish for wood and stone and as a lubricant and waterproofing agent.																																																						
Tungiasis	Tungiasis is a parasitic skin disease caused by the penetration of the female sand flea (Tunga penetrans) into the skin. The sand flea burrows into the skin, causing intense itching and irritation. In severe cases, the sand flea can cause secondary bacterial infections, which can lead to serious health complications.	Health condition																																																					
Tungsten	Tungsten is a chemical element with the symbol W and atomic number 74. The name tungsten comes from the former Swedish name for the tungstate mineral scheelite, tungsten meaning "heavy stone". Tungsten is a rare metal found naturally on Earth almost exclusively in chemical compounds. It was identified as a new element in 1781 and first isolated as a metal in 1783. Its important ores include wolframite and scheelite. The free element is remarkable for its robustness, especially the fact that it has the highest melting point of all the elements.																																																						
Turkey corn	Turkey corn is a type of corn that is typically used for decoration or as feed for animals.																																																						
Turkey Tail Mushroom	Turkey tail mushrooms are a type of medicinal mushroom that has been used for centuries in traditional Chinese medicine. Turkey tail mushrooms are rich in polysaccharides and other compounds that have been shown to have immune-boosting, anti-inflammatory, and anti-cancer properties.																																																						
Turner Syndrome	Turner Syndrome is a health condition that affects females. It is caused by a missing or incomplete X chromosome. Symptoms may include short stature, webbed neck, low hairline, and low-set ears.	Health condition																																																					
Turpentine Oil	Turpentine oil is a volatile oil that is distilled from the resin of certain pine trees. It is used as a solvent and as a source of materials for the production of other chemicals.																																																						
Turtlehead	This Turtlehead plant is a perennial herb that grows to about 2 feet tall. The leaves are lance-shaped and the flowers are white or pink, borne in clusters at the ends of the stems. The plant blooms from mid-summer to early fall.	Plant																																																					
Tylophora	Tylophora is a genus of flowering plants in the family Apocynaceae. The genus is native to tropical and subtropical regions of Asia, Africa, and Australia. Plants in the genus Tylophora are herbs, shrubs, or climbers. They have opposite or whorled leaves and produce small, white or green flowers. The fruit is a follicle or a drupe.  Tylophora plants are used in traditional medicine for the treatment of various ailments, including asthma, bronchitis, and diarrhea. The plants contain various alkaloids, including tylophorine, which is thought to be responsible for the medicinal properties.	Plant																																																					
Type 1 Diabetes	Type 1 diabetes is a chronic health condition in which the body is unable to produce insulin, a hormone that is necessary for the body to process sugar.	Health condition																																																					
Type 2 Diabetes	Type 2 diabetes is a chronic condition that affects the way your body metabolizes sugar. It is characterized by high levels of sugar in the blood. Type 2 diabetes can be caused by a number of factors, including genetics, lifestyle, and weight. The condition can be controlled with medication, diet, and exercise.	Health condition																																																					
Tyrosinemia	Tyrosinemia is a rare, inherited disorder that prevents the body from breaking down the amino acid tyrosine. Tyrosinemia can lead to liver and kidney damage, and can be fatal if left untreated.	Health condition																																																					
Ultraprocessed food	Ultraprocessed food is defined as any food that has been processed beyond its natural state, including adding preservatives, artificial flavors, and colors.																																																						
Umckaloabo	extract  This is an extract of the plant Umckaloabo, which is native to South Africa. It is a perennial herb that grows to a height of 1-2 m. The leaves are opposite, oblong-lanceolate, and have a toothed margin. The flowers are white or pale pink, and borne in clusters. The fruit is a capsule, containing small, black seeds.	Plant																																																					
Unani Medicine	Unani medicine is a form of traditional medicine that is practiced in India and other parts of South Asia. It is based on the belief that the human body is made up of four elements: air, water, fire, and earth.																																																						
Unsaturated Fat	Unsaturated fat is a type of fat that contains one or more double bonds in its hydrocarbon chain. This makes the fat molecules less stable and more prone to oxidation.																																																						
Unstable Angina	Unstable angina is a type of chest pain that occurs when the blood supply to the heart muscle is reduced. The pain is usually severe and may be accompanied by shortness of breath, sweating, and nausea.	Health condition																																																					
Upper Respiratory Tract Infection (URTI)	The common cold is a viral infection of your upper respiratory tract, which includes your nose, throat, sinuses, and eustachian tubes. A cold is usually caused by one of several viruses, with rhinoviruses being the most common.	Health condition																																																					
Uranium	Uranium is a radioactive chemical element with the symbol U and atomic number 92. It is a silvery-grey metal in the actinide series of the periodic table. A uranium atom has 92 protons and 92 electrons, of which 6 are valence electrons.																																																						
Uremic Pruritus	Uremic pruritus is a condition characterized by itching of the skin. It is a symptom of kidney failure and can be very severe. Treatment typically involves managing the underlying kidney failure and using medications to relieve the itching.	Health condition																																																					
Urethral Syndrome	Urethral syndrome is a condition that can cause pain in the urethra, the tube that carries urine from the bladder out of the body. The pain may be worse when urinating or during sexual activity. There may also be a burning sensation or a feeling of needing to urinate more often.	Health condition																																																					
Urinary Incontinence	Urinary incontinence is a health condition in which a person experiences involuntary leakage of urine. This can happen when the person coughs, laughs, or sneezes. It can also happen when the person is exerting themselves physically.	Health condition																																																					
Urinary Retention	Urinary retention is a condition in which a person is unable to empty their bladder. This can be a temporary or chronic condition. Symptoms may include an inability to urinate, pain in the abdomen or pelvis, and an inability to empty the bladder completely.	Health condition																																																					
Urinary Tract Infection	A urinary tract infection (UTI) is an infection that affects any part of the urinary tract. The urinary tract includes the kidneys, ureters, bladder, and urethra. A UTI can occur in both men and women.	Health condition																																																					
Urinary Tract Infections (UTIs)	A urinary tract infection (UTI) is an infection that affects any part of the urinary tract, including the kidneys, ureters, bladder, or urethra.	Health condition																																																					
Urine drug tests	A urine drug test is a test that measures the levels of certain drugs in a person's urine.																																																						
Urine Therapy	Urine therapy is the use of urine for medicinal purposes. It may be taken internally or applied externally.																																																						
Urticaria	Urticaria is a condition that causes the skin to break out in hives and can be accompanied by itching, swelling, and redness.	Health condition																																																					
Usnea	Usnea is a type of lichen that grows on trees. It is long and stringy, and often has a greenish-gray color.																																																						
Uterine Fibroids	Uterine fibroids are non-cancerous growths of the uterus that often occur during a woman's childbearing years. Symptoms can include heavy or prolonged menstrual bleeding, pelvic pain or pressure, and difficulty urinating. While most fibroids are small and cause no problems, some can grow to be very large and cause severe symptoms. Treatment options include medication, surgery, and, in some cases, no treatment at all.	Health condition																																																					
Uva Ursi	Uva Ursi is a small, evergreen shrub that grows in the mountainous regions of Europe, Asia, and North America. The leaves of the plant are used to make medicine.  Uva Ursi is used for urinary tract infections (UTIs), including cystitis, urethritis, and nephritis. It is also used for kidney stones and other kidney disorders. Some people use it as a diuretic to increase urine flow and as an astringent to reduce inflammation.  Uva Ursi is sometimes applied directly to the skin for skin conditions such as eczema and psoriasis.	Plant																																																					
Uveitis	Uveitis is a condition that results in inflammation of the uvea, which is the middle layer of the eye. The uvea consists of the iris, ciliary body, and choroid. Uveitis can cause pain, redness, and blurred vision.	Health condition																																																					
Uzara	The Uzara plant is a small, herbaceous plant that is native to Africa. It has small, white flowers and is used in traditional medicine for a variety of purposes.	Plant																																																					
Vaginal Candidiasis	Vaginal candidiasis is a health condition that results when there is an overgrowth of the Candida albicans fungus in the vagina. This overgrowth can cause symptoms such as itching, burning, and discharge. Candidiasis is usually treated with antifungal medications.	Health condition																																																					
Vaginitis	Vaginitis is an inflammation of the vagina that can be caused by several different things, including infections, allergies, and irritants. The most common symptom of vaginitis is itching, but other symptoms may include burning, redness, and discharge.	Health condition																																																					
Valproic Acid-Induced Toxicities	Valproic acid-induced toxicities are a group of conditions that can occur when someone takes too much of the medication valproic acid. These toxicities can range from mild to life-threatening, and can include problems such as liver damage, pancreatitis, and bleeding.	Health condition																																																					
Vanadium	Vanadium is a chemical element with the symbol V and atomic number 23. It is a hard, silvery-grey, ductile, and malleable transition metal. The elemental metal is rarely found in nature, but once isolated artificially, the formation of an oxide layer (passivation) stabilizes the free metal somewhat against further oxidation.																																																						
Vanadium Deficiency	Vanadium is a mineral that is found in many foods. It is also available as a dietary supplement. Vanadium is needed for the proper growth and development of bones, teeth, and muscles. It also helps the body to use carbohydrates and fats. Vanadium deficiency is rare.	Health condition																																																					
Varicose Veins	Varicose veins are enlarged, twisted veins that are often found on the legs. They can cause pain, swelling, and cramping.	Health condition																																																					
Vascular Dementia	Vascular dementia is a type of dementia that occurs when there is damage to the brain's blood vessels. This can lead to problems with thinking, memory, and movement.	Health condition																																																					
Vasospastic Angina	Vasospastic angina is a type of angina (chest pain) that occurs when the arteries that supply blood to the heart muscle spasm. This can reduce or block the flow of blood to the heart muscle.	Health condition																																																					
Vegan Diet	A vegan diet is a type of vegetarian diet that excludes all animal products, including eggs, dairy, and honey.																																																						
Vegetable oils	Vegetable oils are oils that are extracted from plants.																																																						
Vegetables	A vegetable is a plant or part of a plant that is eaten as food.																																																						
Vegetarian Diet	A vegetarian diet is a diet that does not include meat, poultry, or fish.																																																						
Venous Insufficiency	Venous insufficiency is a condition in which the veins have difficulty returning blood from the legs to the heart. This can cause the legs to feel tired, achy, and heavy. It can also lead to more serious problems such as ulcers.	Health condition																																																					
Venous Leg Ulcers	A venous leg ulcer is a sore on the leg that does not heal within two weeks, and is usually caused by poor circulation.	Health condition																																																					
Venous Thromboembolism (Blood Clotting)	A blood clot that forms in a vein is called a venous thromboembolism (VTE). A VTE can be dangerous because it can break off and travel to your lungs, blocking blood flow (pulmonary embolism). A VTE can also cause long-term damage to your veins.	Health condition																																																					
Venous Thromboembolism (VTE)	A venous thromboembolism (VTE) is a blood clot that forms in a vein, usually in the leg. It can cause pain, swelling, and redness. If the clot breaks loose, it can travel to the lungs and block blood flow. This can cause chest pain, shortness of breath, and even death.	Health condition																																																					
Ventilator-Associated Pneumonia	Ventilator-Associated Pneumonia (VAP) is a type of pneumonia that occurs in people who are on mechanical ventilation. VAP is a serious complication that can occur in people who are on mechanical ventilation, and can lead to death.	Health condition																																																					
Ventilator-Associated Pneumonia (VAP)	Ventilator-Associated Pneumonia (VAP) is a serious lung infection that can occur in people who are on mechanical ventilation (breathing machine). VAP is a leading cause of death in hospitals.	Health condition																																																					
Ventricular Arrhythmias	Ventricular arrhythmias are a type of heart rhythm disorder that affects the lower chambers of the heart (the ventricles). The ventricles are the heart's pumping chambers, and they work with the atria (the heart's upper chambers) to pump blood through the heart and out to the rest of the body. In people with ventricular arrhythmias, the ventricles beat too fast, too slow, or irregularly. This can cause the heart to pump less effectively, and it can lead to symptoms like chest pain, shortness of breath, and dizziness. Ventricular arrhythmias can be serious, and they can sometimes lead to sudden cardiac death.	Health condition																																																					
Verbena	This Verbena plant is a perennial herb that can grow up to 2 feet tall. The leaves are opposite, oblong, and have toothed margins. The flowers are small, white, and borne in clusters. The plant blooms from June to September.	Plant																																																					
Veronica	This Veronica plant has small, blue flowers and glossy green leaves. It is a low-growing plant that spreads quickly, making it ideal for groundcover.	Plant																																																					
Vesicoureteral Reflux	Vesicoureteral reflux (VUR) is a condition in which urine flows backward from the bladder into the ureters. The ureters are the tubes that carry urine from the kidneys to the bladder.	Health condition																																																					
Vestibulopathy	Vestibulopathy is a disorder of the vestibular system, which is responsible for balance and eye movement. Symptoms include dizziness, vertigo, and problems with balance. Treatment depends on the underlying cause and may involve vestibular rehabilitation, medications, or surgery.	Health condition																																																					
Vetiver	Vetiver is a perennial grass that is native to India. It is a hardy plant that can grow up to 10 feet tall. The leaves are long and narrow, and the flowers are small and white. The roots of the plant are very strong and can grow up to 6 feet long. Vetiver is often used in Ayurvedic medicine, and it is also used to make perfumes and incense.	Plant																																																					
Vietnamese Coriander	This plant is a member of the mint family and is native to Vietnam. It has a strong, pungent flavor and is often used in Vietnamese cuisine. The leaves are used fresh or dried, and the plant can also be used to make a tea.	Plant											Herb																																										
Vincristine-Induced Neuropathy	Vincristine-Induced Neuropathy is a condition caused by the chemotherapy drug vincristine. This drug can damage the nerves, causing pain, numbness, tingling, and weakness.	Health condition																																																					
Vinegar	Vinegar is a sour liquid that is made by fermenting alcohol.																																																						
Vinpocetine	Vinpocetine is a synthetic compound derived from the alkaloid vincamine. It is used as a drug in the treatment of Alzheimer's disease and other cognitive disorders.																																																						
Vitamin B12 Deficiency	Vitamin B12 deficiency is a condition in which there is a lack of vitamin B12 in the body. This can lead to a number of problems including anemia, fatigue, and neurological problems.	Health condition																																																					
Vitamin B6 Deficiency	Vitamin B6 is a water-soluble vitamin that is part of the vitamin B complex. It is involved in many biochemical reactions in the body and is essential for good health. A vitamin B6 deficiency can cause a wide range of health problems.	Health condition																																																					
Vitamin K-Dependent Clotting Factors Deficiency (VKCFD)	Vitamin K-Dependent Clotting Factors Deficiency (VKCFD) is a rare bleeding disorder caused by a deficiency of vitamin K-dependent clotting factors. People with VKCFD may bleed excessively from minor cuts or bruises, and may have prolonged bleeding after surgery or dental procedures. VKCFD is usually diagnosed in infancy or early childhood.	Health condition																																																					
Vitiligo	Vitiligo is a health condition in which the skin loses its pigment. The affected areas of skin can be any color, but they are usually white. Vitiligo usually starts as small patches of white skin. The patches can spread and get larger. They can also join together and cover large areas of the body.	Health condition																																																					
Vocal Cord Dysfunction	Vocal cord dysfunction (VCD) is a condition that causes your vocal cords to close when you breathe in. This can make it hard to breathe and can also cause you to make a high-pitched sound when you breathe out.	Health condition																																																					
Volatile oil	Volatile oils are oils that evaporate easily at room temperature.																																																						
Volumetrics Diet	The Volumetrics Diet is a weight-loss plan that emphasizes eating more foods that are low in energy density and high in water and fiber content.																																																						
Vulvar Pain	Vulvar pain is a condition in which a woman experiences pain in her vulva, the external female genital area. The pain may be constant or intermittent, and can vary in intensity. It may be felt as burning, stinging, itching, or throbbing. Vulvar pain may be caused by a variety of factors, including infections, skin disorders, and nerve disorders. Treatment for vulvar pain often includes a combination of medical and self-care measures.	Health condition																																																					
Vulvovaginal Candidiasis (Yeast Infection)	Vulvovaginal candidiasis (VVC) is a type of yeast infection that affects the vagina and vulva. The most common symptom of VVC is itching, which may be severe. Other symptoms include burning, redness, and swelling of the vulva; burning, redness, and irritation of the vagina; and a thick, white, cottage cheese-like discharge.	Health condition																																																					
Wahoo	The definition of wahoo is "an exclamation of triumph, joy, or excitement."																																																						
Wallflower	This Wallflower plant is a beautiful, fragrant, and easy to grow flower. It blooms in the spring and summer, and is a great addition to any garden.	Plant																																																					
Warfarin-Induced Hair Loss	Warfarin-induced hair loss is a condition in which hair loss occurs as a side effect of taking the medication warfarin. Warfarin is a blood thinner that is used to treat conditions such as heart disease and stroke. While warfarin is effective at treating these conditions, it can also cause a number of side effects, including hair loss. In most cases, warfarin-induced hair loss is temporary and will resolve once the medication is stopped. However, in some cases, the hair loss may be permanent.	Health condition																																																					
Water Avens	The water avens is a perennial herb that grows in damp areas. The plant has a reddish-brown stem and leaves that are deeply lobed and toothed. The flowers are small and white, and they grow in clusters. The water avens is native to Europe and Asia, but it can also be found in North America.	Plant																																																					
Water Dock	The Water Dock plant is a perennial herb that grows in wet areas. The plant has large, dark green leaves and produces small, white flowers. The plant is native to Europe and Asia and is often used as an ornamental plant in gardens.	Plant																																																					
Water Germander	Water Germander is a perennial herb that grows in wet areas. The leaves are lance-shaped and the flowers are small and white.	Plant																																																					
Water Hemlock	Water hemlock is a perennial herb that grows in wet areas. The plant has a large, white taproot and large, compound leaves. The flowers are small, white, and borne in umbrella-like clusters. The fruit is a small, black, spherical drupe.	Plant																																																					
Water Warts	Water warts are small, flesh-colored growths that commonly appear on the hands and feet. They are caused by a virus and are contagious. Water warts are not cancerous and do not cause any health problems.	Health condition																																																					
Watercress	Watercress is a leafy, green plant that grows in water. It has a peppery flavor and is often used in salads or as a garnish.	Plant																																																					
Watermelon juice	Watermelon juice is a type of juice made from watermelons.																																																						
Weight Watchers Diet	The Weight Watchers Diet is a diet plan that emphasizes eating healthy foods and exercising regularly. The diet plan is based on a points system, which assigns points to different foods based on their calorie content, fat content, and fiber content.																																																						
Wernicke-Korsakoff Syndrome (WKS)	WKS is a condition that affects the nervous system and can cause problems with muscle coordination, vision, and memory. It is caused by a deficiency of thiamine (vitamin B1).	Health condition																																																					
Western Diet	The Western diet is a diet that is typically high in red and processed meats, refined grains, added sugars, and unhealthy fats.																																																						
Western Herbal Medicine	Western herbal medicine is a system of medicine that uses plants and plant extracts to treat a wide variety of conditions.																																																						
Wheatgrass	The definition of wheatgrass is a grass that is used as a cereal grain, as a forage crop, or as a soil-building cover crop.																																																						
White Dead Nettle Flower	Lamium album, commonly known as white dead-nettle, is a herbaceous flowering plant in the family Lamiaceae. It is native to Europe and Asia, but has also been introduced to North America. It is a perennial plant that typically grows to 10–50 cm (4–20 in) tall. The leaves are opposite, ovate to lanceolate, 2–8 cm (0.8–3.1 in) long and 1–3 cm (0.4–1.2 in) broad, with a toothed margin. The flowers are produced in whorls of three to five in the leaf axils, each flower 2–3 cm (0.8–1.2 in) long, with a tubular white corolla with a yellow or purple throat.	Plant																																																					
White Hellebore	This white hellebore plant is a perennial herb that blooms in the spring. The flowers are white and have a bell-shaped structure. The plant is native to Europe and Asia and has been introduced to North America.	Plant																																																					
White Horehound	White horehound is a perennial herb that is native to Europe and Asia. It has been introduced to North America, where it is now found in the eastern and central United States. The plant grows to a height of 30 cm (12 in). The leaves are opposite, ovate to lanceolate in shape, and have toothed margins. The flowers are white and borne in clusters. The fruit is a small, black, four-lobed capsule.  White horehound has a long history of use in herbal medicine. It was used to treat a variety of ailments, including colds, coughs, and digestive problems. The plant is still used today in cough syrups and lozenges.	Plant																																																					
White Lily	The White Lily is a beautiful plant that is native to North America. It has large, white flowers that bloom in the summer and early fall. The plant grows to be about 3 feet tall and has dark green leaves.	Plant																																																					
White Mulberry	The White Mulberry is a deciduous tree that can grow up to 50 feet tall. The leaves are alternate, simple, and oblong with serrated margins. The flowers are small, greenish-white, and borne in clusters. The fruit is a small, blackberry-like drupe.	Plant																																																					
White Mustard	The White Mustard plant is a small, annual herb that grows to a height of about 2 feet. The leaves are lanceolate, toothed, and about 2-3 inches long. The flowers are white, about 1/2 inch across, and borne in clusters at the ends of the stems. The fruit is a small, black seed.	Plant																																																					
White Oak	White Oak is a type of oak tree that has white bark and leaves.																																																						
White Pepper	This White Pepper plant is a perennial vine that produces small, white berries. The berries are dried and used as a spice. White pepper is used to add flavor to food, and it is also used as a medicinal herb.	Plant																																																					
White Sandalwood	The definition of White Sandalwood is a type of wood that is often used in making furniture. It is a hardwood that is very strong and durable.																																																						
Wild Carrot	This plant is a member of the carrot family and has a white, five-petaled flower. The stem is hairy and the leaves are deeply lobed. The plant can grow to be about two feet tall.	Plant																																																					
Wild Cherry	The Wild Cherry tree is a deciduous tree that can grow up to 50 feet tall. The tree has a smooth, gray bark and its leaves are dark green and glossy. The tree produces small, white flowers in the spring, which turn into dark red cherries in the summer. The cherries are edible and can be used to make pies, jams, and other desserts.	Plant																																																					
Wild Daisy	The wild daisy is a perennial plant that grows to about 2 feet tall. The leaves are lance-shaped and the flowers are white with yellow centers. The plant blooms in the spring and summer.	Plant																																																					
Wild Indigo	Baptisia australis, commonly known as blue wild indigo, is a herbaceous perennial plant in the legume family, Fabaceae. It is native to the eastern United States and Canada. The plant grows up to 1.5 m tall, with trifoliate leaves and blue-violet flowers. The flowers are pollinated by bees, and the seeds are dispersed by ants.	Plant																																																					
Wild Lettuce	(Lactuca virosa)  The Wild Lettuce plant is a member of the Asteraceae family and is native to Europe, North Africa, and Asia. It is a biennial herb that grows to a height of 2-3 feet and has a rosette of large, lobed leaves. The plant produces small, yellow flowers that bloom in the summer. The leaves of the Wild Lettuce plant are used to make a tea that has sedative and analgesic properties.	Plant																																																					
Wild Mint	This Wild Mint plant is a perennial herb that grows to about 2-3 feet tall. The leaves are opposite, ovate to lanceolate in shape, and have a toothed margin. The flowers are white and borne in terminal spikes. The plant blooms from June to August.	Plant																																																					
Wild Thyme	This plant is a member of the mint family and has a strong, thyme-like flavor. The leaves are used fresh or dried in a variety of dishes.	Plant											Herb																																										
Willard water	Willard water is a type of water that has been treated with a special process that makes it more alkaline.																																																						
Wilson Disease	Wilson Disease is a rare inherited disorder that prevents the body from getting rid of extra copper. The build-up of copper damages the liver, brain, and other organs.	Health condition																																																					
Wine	Wine is an alcoholic beverage made from fermented grapes.																																																						
Winter Cherry	Winter cherry is a small, woody shrub that produces small, white flowers in the spring. The flowers are followed by small, red berries in the fall. The berries are edible and have a sweet, tart flavor. Winter cherry is native to Europe and Asia and has been introduced to North America.	Plant																																																					
Winter Savory	Winter savory is a perennial herb that is native to the Mediterranean region. It has a strong, pungent flavor that is similar to thyme. Winter savory is often used to flavor meats, soups, and stews. It is also used as a garnish or to make a savory tea.	Plant											Herb																																										
Wintergreen	Wintergreen is a small, evergreen shrub that typically grows to only 6-12 inches (15-30 cm) tall. The leaves are dark green and glossy, with a white underside. The flowers are small and white, blooming in late spring or early summer. The fruit is a small, black berry. Wintergreen is native to North America, where it is found in woods and forests.	Plant																																																					
Wiskott-Aldrich Syndrome	Wiskott-Aldrich syndrome is a rare, inherited disorder that affects the immune system and causes problems with bleeding. The disorder is caused by a mutation in the WAS gene. People with Wiskott-Aldrich syndrome are more likely to develop infections, easy bruising, and bleeding.	Health condition																																																					
Witch Hazel	The Witch Hazel plant is a shrub that can grow to be about 15 feet tall. It has oval-shaped leaves that are about 3-5 inches long and 2-3 inches wide. The leaves are green in the summer and turn yellow, orange, or red in the fall. The plant has small, yellow flowers that bloom in the fall. The Witch Hazel plant is native to North America and can be found in woods and forests.	Plant																																																					
