ID,,TEXT,Types,Related to,Is about,Is about,Is about,Author
,,"<Communities need the capacity to> use HMIS and other data sources to build and maintain active lists of people experiencing homelessness and to track the homelessness status, engagements, and permanent housing placement for each individual or family",Claim,,Data,,,U.S. Interagency Council on Homelessness
,,"In order to comprehensively identify and engage all people experiencing homelessness, partnerships across multiple systems and sectors are critically important, particularly among homelessness service systems and health and behavioral health care providers, schools, early childhood care providers and other educators, child welfare agencies, Temporary Assistance for Needy Families (TANF) agencies, law enforcement, criminal justice system stakeholders, workforce systems, faith-based organizations, and other community-based partners.",Claim,,Outreach,Coordination,,U.S. Interagency Council on Homelessness
,,An effective crisis response system helps individuals and families experiencing homelessness avoid the need to enter emergency shelter whenever possible.,Claim,,Big picture,Shelters,,U.S. Interagency Council on Homelessness
,,"<An effective crisis response system> is also able to immediately provide a meaningful array of high-quality, housing-focused shelter or other temporary options for those living in unsafe situations, including those fleeing domestic violence and human trafficking and those living in unsheltered locations.",Claim,,Big picture,,,U.S. Interagency Council on Homelessness
,,Provide access to low-barrier emergency shelter. Communities should have effective models of emergency shelter and other temporary accommodations available/,Claim,,Big picture,Shelters,,U.S. Interagency Council on Homelessness
,,"<Emergency shelter and other temporary accommodations should> meet the needs of all members of a household and self-defined family and kinship groups, including infants and young children",Claim,,Shelters,Shelters,,U.S. Interagency Council on Homelessness
,,"<Emergency shelter and other temporary accommodations should> Do not turn people away or make access contingent on sobriety, minimum income requirements, or lack of a criminal history",Claim,,Shelters,,,U.S. Interagency Council on Homelessness
,,<Emergency shelter and other temporary accommodations should> Do not require family members and partners to separate from one another in order to access shelter,Claim,,Shared Housing,,,U.S. Interagency Council on Homelessness
,,<Emergency shelter and other temporary accommodations should> Ensure that policies and procedures promote dignity and respect for every person seeking or needing shelter,Claim,,Shelters,Big picture,,U.S. Interagency Council on Homelessness
,,"<Emergency shelter and other temporary accommodations should> Provide a safe, decent, welcoming, and appropriate temporary living environment, where daily needs can be met while pathways back to safe living arrangements or directly into housing programs are being pursued",Claim,,Shelters,Big picture,,U.S. Interagency Council on Homelessness
,,"Provide access to service-enriched, longer-term temporary accommodations when needed and appropriate",Claim,,Big picture,,,U.S. Interagency Council on Homelessness
,,"Longer-term temporary accommodations with a high level of supportive services, such as transitional housing programs, are typically more costly, but may fill a need for households with more intensive service needs.",Claim,,Longer-term temporary accommodation,Shelters,,U.S. Interagency Council on Homelessness
,,"Use standardized assessment tools, prioritization policies, and practices to take into account the unique needs of different populations",Claim,,Big picture,,,U.S. Interagency Council on Homelessness
,,"Build capacity to train staff consistently, to implement trauma-informed approaches, and to protect the confidentiality and safety concerns of people experiencing homelessness",Claim,,Service workers,Big picture,,U.S. Interagency Council on Homelessness
,,Bring non-traditional partners and resources to the table as part of a broad and collaborative community effort that engages other public programs and community- and faith-based organizations in preventing and ending homelessness.,Claim,,Big picture,Coordination,,U.S. Interagency Council on Homelessness
,,<Housing first> Housing First system orientation recognizes that people experiencing homelessness—like all people—need the safety and stability of a home in order to best address challenges and pursue opportunities.,Claim,House homeless people first before addressing underlying causes,Housing First,Housing,,U.S. Interagency Council on Homelessness
,,"The Housing First approach connects people back to a home as quickly as possible, while making readily available the services that people may need to be stable and secure.",Claim,House homeless people first before addressing underlying causes,Housing First,Housing,,U.S. Interagency Council on Homelessness
,,"<Housing first> street outreach providers, emergency shelters, and other parts of the crisis response system are working closely with housing providers to connect people to permanent housing as quickly as possible.",Claim,,Housing,Housing First,,U.S. Interagency Council on Homelessness
,,<Housing first> the community has a data-driven coordinated assessment system for matching people experiencing homelessness to the most appropriate housing and services based on their needs.,Claim,,Housing,Housing First,,U.S. Interagency Council on Homelessness
,,"<Housing first> the community has a unified and streamlined process for applying for rapid re-housing, supportive housing, and/or other housing interventions.",Claim,,Housing,Housing First,,U.S. Interagency Council on Homelessness
,,<Housing first> community leaders work collaboratively to ensure that a range of affordable and supportive housing options and models are available to meet local needs.,Claim,,Housing,Housing First,,U.S. Interagency Council on Homelessness
,,"<Housing first> policies and regulations related to supportive housing, social and health services, benefit and entitlement programs, and other essential services do not create needless barriers to housing.",Claim,,Housing,Housing First,,U.S. Interagency Council on Homelessness
,,<Housing first> communities work to ensure that people are not evicted back into homelessness whenever possible.,Claim,,Housing,Big picture,,U.S. Interagency Council on Homelessness
,,Thriving communities need enough housing that is affordable and equitably available to people across a full range of incomes—from young adults just starting out to seniors who want to spend their remaining years feeling secure,Claim,There is not enough affordable housing,Big picture,Housing,,U.S. Interagency Council on Homelessness
,,Expanding access to housing affordable to people who are at risk of or are experiencing homelessness.,Claim,,Big picture,Housing,,U.S. Interagency Council on Homelessness
,,"Promote development of an expanded supply of safe and affordable rental homes through federal, state, and local efforts and investments.",Claim,,Housing,,,U.S. Interagency Council on Homelessness
,,Assisting communities that are working to adopt policies to expand overall housing supply and to project the scale of affordable housing units—including units that are affordable to people exiting homelessness and units that are accessible to persons with disabilities—needed to meet local demand on an ongoing basis.,Claim,,Housing,Coordination,,U.S. Interagency Council on Homelessness
,,Improve access to federally funded housing assistance by eliminating administrative barriers and encouraging targeting and prioritization of affordable housing to people experiencing homelessness in a community and/or to populations that are especially vulnerable to homelessness.,Claim,,Housing,Housing,,U.S. Interagency Council on Homelessness
,,"Encourage collaboration between public housing agencies, multi-family housing owners, and homelessness services systems, and promote guidance on how public housing agencies and multi-family housing owners can adopt admissions preferences and successfully house people exiting homelessness.",Claim,,Housing,Coordination,,U.S. Interagency Council on Homelessness
,,Support states and communities to better target and align rental assistance and capital financing sources to support new construction and rehabilitation of affordable housing units that can be effectively accessed by people exiting homelessness.,Claim,,Housing,,,U.S. Interagency Council on Homelessness
,,Rapid re-housing is an intervention designed to help individuals and families that don't need intensive and ongoing supports to quickly exit homelessness and return to permanent housing.,Claim,,Rapid re-housing,Housing,,U.S. Interagency Council on Homelessness
,,"Rapid re-housing assistance is offered without preconditions — like employment, income, absence of criminal record, or sobriety — and the resources and services provided are tailored to the unique needs of the household.",Claim,,Rapid re-housing,Housing,,U.S. Interagency Council on Homelessness
,,"<Rapid Re-Housing, housing identification> recruit landlords to provide housing opportunities for individuals and families experiencing homelessness.",Claim,,Rapid re-housing,Housing,,U.S. Interagency Council on Homelessness
,,"<Rapid Re-Housing, housing identification> address potential barriers to landlord participation such as concern about short term nature of rental assistance and tenant qualifications.",Claim,,Rapid re-housing,Housing,,U.S. Interagency Council on Homelessness
,,"<Rapid Re-Housing, housing identification> assist households to find and secure appropriate rental housing.",Claim,,Rapid re-housing,Housing,,U.S. Interagency Council on Homelessness
,,"<Rapid Re-Housing, rent and Move-In Assistance>  Provide assistance to cover move-in costs, deposits, and the rental and/or utility assistance (typically six months or less) necessary to allow individuals and families to move immediately out of homelessness and to stabilize in permanent housing.",Claim,,Rapid re-housing,Housing,,U.S. Interagency Council on Homelessness
,,"<Rapid Re-Housing, Case Management and Services>  Help individuals and families experiencing homelessness identify and select among various permanent housing options based on their unique needs, preferences, and financial resources.",Claim,,Rapid re-housing,Housing,,U.S. Interagency Council on Homelessness
,,"<Rapid Re-Housing, Case Management and Services>  Help individuals and families experiencing homelessness address issues that may impede access to housing (such as credit history, arrears, and legal issues).",Claim,,Rapid re-housing,Housing,,U.S. Interagency Council on Homelessness
,,"<Rapid Re-Housing, Case Management and Services>  Help individuals and families negotiate manageable and appropriate lease agreements with landlords.",Claim,,Rapid re-housing,Housing,Landlords,U.S. Interagency Council on Homelessness
,,"<Rapid Re-Housing, Case Management and Services> Make appropriate and time-limited services and supports available to families and individuals to allow them to stabilize quickly in permanent housing.",Claim,,Rapid re-housing,Housing,,U.S. Interagency Council on Homelessness
,,"<Rapid Re-Housing, Case Management and Services> Monitor participants’ housing stability and be available to resolve crises.",Claim,,Rapid re-housing,Housing,,U.S. Interagency Council on Homelessness
,,"<Rapid Re-Housing, Case Management and Services> Provide or assist the household with connections to resources that help them improve their safety and well-being and achieve their long-term goals.",Claim,,Rapid re-housing,Housing,,U.S. Interagency Council on Homelessness
,,"<Rapid Re-Housing, Case Management and Services> Ensure that services provided are client-directed, respectful of individuals’ right to self-determination, and voluntary.",Claim,,Rapid re-housing,Housing,,U.S. Interagency Council on Homelessness
,,Communities must work to reduce the length of time families remain homeless by helping them obtain permanent housing as quickly as possible.,Claim,,Big picture,Housing,,U.S. Interagency Council on Homelessness
,,"Rapid re-housing may be a preferable part of the homeless crisis response system than more costly, service-intensive programs that have higher barriers to entry like transitional housing.",Claim,,Housing,Rapid re-housing,,U.S. Interagency Council on Homelessness
,,"The core components of rapid re-housing include (1) housing search and landlord negotiation, (2) short-term financial and rental
assistance, and (3) the delivery of home-based housing stabilization services, as needed.
",Claim,,Rapid re-housing,Housing,,U.S. Interagency Council on Homelessness
,,"<2015> Currently, most communities fund their rapid re-housing capacity by relying upon federal resources that are targeted to addressing homelessness, such as the
Emergency Solutions Grants, Continuum of Care program, or Supportive Services for Veteran Families funding",Claim,,Rapid re-housing,Housing,,U.S. Interagency Council on Homelessness
,,"There are many sources of federal assistance that communities can use to fund the three core components of rapid re-housing. These include resources administered by mainstream public systems like human services agencies, child welfare agencies, and housing agencies, who all play a key role in efforts to end homelessness.",Claim,,Rapid re-housing,Housing,,U.S. Interagency Council on Homelessness
,,"Supportive housing combines non-time-limited affordable housing assistance with wrap-around supportive services for people experiencing homelessness, as well as other people with disabilities.",Claim,Provide additional support on top of housing homeless people,Supportive housing,Housing,,U.S. Interagency Council on Homelessness
,,"Study after study has shown that supportive housing not only resolves homelessness and increases housing stability, but also improves health and lowers public costs by reducing the use of publicly-funded crisis services, including shelters, hospitals, psychiatric centers, jails, and prisons.",Claim,Provide additional support on top of housing homeless people,Big picture,Housing,Supportive housing,U.S. Interagency Council on Homelessness
,,"Supportive housing links decent, safe, affordable, community-based housing with flexible, voluntary support services designed to help the individual or family stay housed and live a more productive life in the community.",Claim,,Supportive housing,Housing,,U.S. Interagency Council on Homelessness
,,"There is no single model for supportive housing’s design. Supportive housing may involve the renovation or construction of new housing, set-asides of apartments within privately-owned buildings, or leasing of individual apartments dispersed throughout an area",Claim,Provide additional support on top of housing homeless people,Supportive housing,Housing,,U.S. Interagency Council on Homelessness
,,"Purpose-built or single-site housing: Apartment buildings designed to primarily serve tenants who are formerly homeless or who have service needs, with the support services typically available on site.",Claim,,Housing,,,U.S. Interagency Council on Homelessness
,,Scattered-site housing: People who are no longer experiencing homelessness lease apartments in private market or general affordable housing apartment buildings using rental subsidies. They can receive services from staff who can visit them in their homes as well as provide services in other settings.,Claim,,Housing,,,U.S. Interagency Council on Homelessness
,,"Unit set-asides: Affordable housing owners agree to lease a designated number or set of apartments to tenants who have exited homelessness or who have service needs, and partner with supportive services providers to offer assistance to tenants.",Claim,,Housing,,,U.S. Interagency Council on Homelessness
,,"People who experience homelessness often access hospital services in ways that are costly and avoidable and do
not resolve their underlying health crises",Claim,,Health,,,U.S. Interagency Council on Homelessness
,,Help people enroll in Medicaid if they are uninsured.,Claim,,Big picture,Health,,U.S. Interagency Council on Homelessness
,,"Hospitals that implement presumptive eligibility programs
can immediately enroll patients who are likely eligible under a state’s Medicaid eligibility guidelines for a
temporary period of time, based on information provided by the individual",Claim,,Health,,,U.S. Interagency Council on Homelessness
,,"Hospitals can also implement or
partner with benefits advocacy services, such as SAMHSA's SSI/SSDI Outreach, Access, and Recovery (SOAR)
program, to assist patients with establishing eligibility for Medicaid, as well as other benefits like SSI/SSDI.",Claim,Make different institutions coordinate their actions on solving homelessness,Health,,,U.S. Interagency Council on Homelessness
,,"Hospitals should recognize housing/homelessness status as a “vital sign” that should be integrated into routine screening when vulnerable
patients visit a hospital.",Claim,,Health,,,U.S. Interagency Council on Homelessness
,,"Hospitals can encourage the consistent use of the ICD-10 (International Classification of Diseases, Tenth Revision)
diagnosis code for homelessness (Z59.0) in medical records, making it easier to use hospital data to identify
patients who experience homelessness, plan for appropriate discharge and care coordination, and better
understand the needs, costs, and patterns of service use for these patients.",Claim,Make different institutions coordinate their actions on solving homelessness,Health,,,U.S. Interagency Council on Homelessness
,,"Health care and homelessness assistance systems speak different languages, and there are
important differences in how these systems offer help to people in need",Claim,,Coordination,Health,,U.S. Interagency Council on Homelessness
,,"When communities prioritize the most vulnerable people and those experiencing
chronic homelessness for housing assistance, hospitals and health care systems can partner with coordinated
entry systems to connect their most vulnerable patients to housing options.",Claim,Make different institutions coordinate their actions on solving homelessness,Big picture,Health,Coordination,U.S. Interagency Council on Homelessness
,,"People experiencing homelessness often have serious and complex health challenges, including mental health problems and substance use disorders, chronic medical conditions like diabetes and hypertension, and infectious diseases like HIV/AIDS, Hepatitis C, and tuberculosis.",Claim,,Big picture,Health,,U.S. Interagency Council on Homelessness
,,Ensuring access to quality health care must be a part of community’s response to homelessness.,Claim,,Big picture,Health,,U.S. Interagency Council on Homelessness
,,"Health care can be most effective when it is integrated with housing assistance, as stable housing not only improves health in and of itself, but also serves as a platform for consistently delivering health care and services.",Claim,,Health,Housing,,U.S. Interagency Council on Homelessness
,,"Encouraging housing providers and health and behavioral health care providers to co-locate, coordinate, or integrate health, behavioral health, safety, and wellness services with housing, and creating better resources for providers to connect patients to housing resources.",Claim,,Health,Big picture,,U.S. Interagency Council on Homelessness
,,"Testing new, and building upon successful, care and service delivery models to provide services in the homes of people who have experienced homelessness, including Assertive Community Treatment Teams and Home and Community Based Services for those with behavioral health needs.",Claim,,Big picture,Health,,U.S. Interagency Council on Homelessness
,,Applying lessons from evaluations of the Medicaid Health Home option to inform efforts to integrate health care and social services for people with chronic conditions experiencing homelessness.,Claim,,Health,Policy,,U.S. Interagency Council on Homelessness
,,Seeking opportunities to increase the availability of medical respite programs in communities to allow hospitals to discharge people experiencing homelessness with complex health needs to medical respite programs that can help stabilize their medical conditions and assist them to access or return to safe and stable housing.,Claim,,Health,,,U.S. Interagency Council on Homelessness
,,"Ensuring that people experiencing homelessness have access to expanded behavioral health services, including substance use disorder treatment services.",Claim,,Health,Big picture,,U.S. Interagency Council on Homelessness
,,"Expanding access to evidence-based maternal, infant, and early childhood home visiting services for families and pregnant women, and promoting integration of these services with housing.",Claim,,Big picture,Children,,U.S. Interagency Council on Homelessness
,,"Leveraging opportunities in child welfare reform to expand evidence-based preventive services, and promoting their coordination with homelessness services and housing.",Claim,,Coordination,Children,,U.S. Interagency Council on Homelessness
,,One of the most effective ways to support individuals as they move out of homelessness and into permanent housing is increasing access to meaningful and sustainable career training and employment pathways.,Claim,,Big picture,Finance,,U.S. Interagency Council on Homelessness
,,Programs designed to connect people to career pathways need to be accessible and responsive to people who have experienced homelessness and employment strategies need to be coordinated with housing and other interventions.,Claim,,Finance,Big picture,,U.S. Interagency Council on Homelessness
,,Coordinate employment services with housing and homelessness assistance to ensure that job development and training strategies focus attention on people who are experiencing or most at risk of homelessness and support their long-term housing stability.,Claim,,Finance,Big picture,,U.S. Interagency Council on Homelessness
,,"Review federal program policies, procedures, and regulations to identify educational, administrative, or regulatory mechanisms that could be used to improve access to work support.",Claim,,Big picture,Finance,Policy,U.S. Interagency Council on Homelessness
,,"Identify ways Workforce Innovation and Opportunity Act (WIOA) and TANF programs can help people who are experiencing or most at risk of homelessness, including people with multiple barriers to employment.",Claim,,Big picture,Finance,,U.S. Interagency Council on Homelessness
,,"Develop and disseminate best practices on helping people with histories of homelessness and barriers to employment enter the workforce, including strategies that take into consideration transportation, child care, child support, domestic violence, criminal justice history, disabling conditions, limited work experience, and age appropriateness.",Claim,,Big picture,,,U.S. Interagency Council on Homelessness
,,"Improve system-wide coordination and integration of employment programs with homeless assistance programs, survivor assistance programs, and housing and permanent supportive housing programs.",Claim,Make different institutions coordinate their actions on solving homelessness,Finance,Big picture,,U.S. Interagency Council on Homelessness
,,"Increase opportunities for work and support recovery for Veterans with barriers to employment, especially Veterans returning from active duty, Veterans with disabilities, and Veterans in permanent supportive housing.",Claim,,Big picture,Finance,Veterans,U.S. Interagency Council on Homelessness
,,"For children and youth experiencing homelessness, schools can be a lifeline. They provide safety, stability, and a connection to community that can help mitigate the impact of homelessness.",Claim,,Children,Big picture,,U.S. Interagency Council on Homelessness
,,Improve identification of children experiencing homelessness and ensure support for them to enroll in school.,Claim,,Big picture,Children,Outreach,U.S. Interagency Council on Homelessness
,,"Eliminate barriers to enrollment and provide seamless transitions from early childhood education through elementary, secondary, and post-secondary education.",Claim,,Big picture,Children,,U.S. Interagency Council on Homelessness
,,"Improve access to and retention in early childhood education programs, elementary and secondary education, and post-secondary education.",Claim,,Big picture,Children,,U.S. Interagency Council on Homelessness
,,"Review existing federal, state, and local program policies, procedures, and regulations to identify mechanisms that could increase both access to and retention in high-quality programs. These mechanisms should help remove barriers and ensure early childhood-to-adulthood educational access, quality child care, and early childhood education through elementary, secondary, and post-secondary education.",Claim,,Big picture,Policy,,U.S. Interagency Council on Homelessness
,,"Educate homelessness assistance providers about the laws, and the programs and practices under those laws, designed to increase access to early care and education, such as those carried out under Head Start, the McKinney-Vento Act’s education subtitle, and the independent student provisions of the Higher Education Act.",Claim,,Big picture,Service workers,,U.S. Interagency Council on Homelessness
,,"Emergency shelters, street outreach, and other crisis services are the critical front line of any community’s response to homelessness.",Claim,,Big picture,,,U.S. Interagency Council on Homelessness
,,Identify all people experiencing or at risk of experiencing homelessness across the community,Claim,,Big picture,,,U.S. Interagency Council on Homelessness
,,Prevent homelessness whenever possible,Claim,,Big picture,,,U.S. Interagency Council on Homelessness
,,"Provide immediate access through coordinated entry to shelter and crisis services without barriers to entry, as stable housing and supports are being secured",Claim,,Big picture,,,U.S. Interagency Council on Homelessness
,,"Quickly connect people who experience homelessness to housing assistance and/or services tailored to the unique strengths and needs of households and which enable them to achieve and maintain permanent housing. Services may include access to school or early childhood care and learning, public benefit programs, employment services, reunification services, and/or health care, including substance use and mental health services. For survivors fleeing domestic violence, specialized shelters and services should also be available.",Claim,,Big picture,,,U.S. Interagency Council on Homelessness
,,"Our national data shows that the number of Americans caught in a revolving door between the streets, shelters, and jails may reach the tens of thousands.",Claim,,Big picture,Crime,,U.S. Interagency Council on Homelessness
,,"Of the 11 million people detained or incarcerated in jails every year, as many as 15% report having been homeless.",Claim,,,Crime,,U.S. Interagency Council on Homelessness
,,"<USICH> is pursuing steps to reduce criminal justice system involvement among people experiencing homelessness, both by reducing the criminalization of homelessness and the return of people from correctional settings to homelessness.",Claim,,Big picture,Crime,,U.S. Interagency Council on Homelessness
,,Strengthening partnerships between law enforcement and homelessness services systems,Claim,,Big picture,Crime,,U.S. Interagency Council on Homelessness
,,Continuing efforts to combat the criminalization of homelessness,Claim,,Big picture,Crime,,U.S. Interagency Council on Homelessness
,,Increasing access to jail diversion and alternatives to incarceration,Claim,,Big picture,Crime,,U.S. Interagency Council on Homelessness
,,Expanding evidence-based housing and services solutions like supportive housing for people caught in a cycle of homelessness and incarceration,Claim,,Big picture,Housing,Supportive housing,U.S. Interagency Council on Homelessness
,,"Reducing barriers to housing, employment, and services for people with criminal histories",Claim,,Big picture,Crime,,U.S. Interagency Council on Homelessness
,,"Recognizing that the solutions to homelessness cut across federal, state, and local jurisdictions, we need to build a robust interagency, cross-sector approach to preventing and ending homelessness.",Claim,,Big picture,Coordination,,U.S. Interagency Council on Homelessness
,,"To achieve our national goals, leaders from all levels of government and the private, non-profit, and faith sectors need to come together to: Build momentum behind a common vision: Through regional, state, and local interagency working groups and other processes that coordinate and align activities, policies, and priorities, we can pursue shared strategies and definitions of success.",Claim,Make different institutions coordinate their actions on solving homelessness,Big picture,Coordination,,U.S. Interagency Council on Homelessness
,,"Collaborative, outcome-driven processes should be driven by our national definition of what an end to homelessness means, and criteria and benchmarks for achieving that goal",Claim,,Big picture,Coordination,,U.S. Interagency Council on Homelessness
,,Reduce fragmentation and duplication: Leadership working in concert can bring together areas of government that have typically operated in silos to reduce duplicative or contradictory activities and ensure the most effective use of public resources.,Claim,Make different institutions coordinate their actions on solving homelessness,Big picture,Coordination,,U.S. Interagency Council on Homelessness
,,Drive implementation of cost-effective solutions: Coalitions of local leaders can use data and performance measurement to guide investments into evidence-informed practices that efficiently solve homelessness.,Claim,,Big picture,Data,,U.S. Interagency Council on Homelessness
,,"For example, rapid re-housing is a lower cost promising practice being deployed in communities across the country to get families quickly back into stable housing so that they can pursue their income and employment goals.",Claim,,Big picture,Housing,Rapid re-housing,U.S. Interagency Council on Homelessness
,,End homelessness,Goal,,,,,
,,Abundant housing,Goal,,,,,
,,There is not enough affordable housing,Problem,End homelessness,,,,
,,Build more affordable housing,Solution,End homelessness,,,,
,,House homeless people first before addressing underlying causes,Solution,End homelessness,,,,
,,Provide additional support on top of housing homeless people,Solution,End homelessness,,,,
,,There is not enough funding for proven homelessness solutions,Problem,End homelessness,,,,
,,Make different institutions coordinate their actions on solving homelessness,Solution,End homelessness,,,,
,,Rent public housing and issue housing vouchers to homeless people,Solution,End homelessness,,,,
,,Housing first is underperforming as a solution to homelessness,Problem,End homelessness,,,,
,,Build more housing units,Solution,Abundant housing,,,,
,,Not enough high density buildings,Problem,Abundant housing,,,,
,,Not enough building permits are being issued,Problem,Abundant housing,,,,
